Carrier,ArrDelay,Month,DayofMonth,Ratio,Total Delay
OO,183,1,16,0.1236,198
OO,27,1,17,0.2949,478
OO,56,1,18,0.2783,453
OO,40,1,19,0.1761,234
OO,23,1,20,0.2194,332
OO,119,1,21,0.5991,976
OO,45,1,22,0.4034,643
OO,45,1,23,0.3250,522
OO,15,1,24,0.3403,553
OO,42,1,25,0.3352,546
OO,38,1,26,0.2632,350
OO,43,1,27,0.3026,460
OO,21,1,28,0.4280,696
OO,35,1,29,0.3007,479
OO,20,1,30,0.1869,300
OO,52,1,31,0.3105,503
OO,37,2,1,0.3214,522
OO,35,2,2,0.2657,355
OO,52,2,3,0.3617,549
OO,116,2,4,0.3769,614
OO,30,2,5,0.2356,377
OO,24,2,6,0.3126,503
OO,66,2,7,0.2708,440
OO,49,2,8,0.3453,560
OO,48,2,9,0.1551,207
OO,26,2,10,0.2376,360
OO,22,2,11,0.2130,345
OO,19,2,12,0.2331,370
OO,108,2,13,0.2583,419
OO,23,2,14,0.4024,668
OO,19,2,15,0.2032,338
OO,28,2,16,0.1993,288
OO,174,2,17,0.2802,445
OO,116,2,18,0.3178,526
OO,15,2,19,0.2324,379
OO,36,2,20,0.1645,272
OO,34,2,21,0.2587,429
OO,78,2,22,0.2946,490
OO,21,2,23,0.2465,355
OO,20,2,24,0.3417,543
OO,25,2,25,0.2658,441
OO,48,2,26,0.2043,332
OO,25,2,27,0.1065,176
OO,18,2,28,0.1094,181
OO,27,2,29,0.3211,534
OO,17,3,1,0.1850,267
OO,25,3,2,0.3327,545
OO,22,3,3,0.2330,400
OO,156,3,4,0.1445,242
OO,16,3,5,0.1150,196
OO,29,3,6,0.1272,218
OO,202,3,7,0.1435,247
OO,118,3,8,0.1973,289
OO,18,3,9,0.2309,378
OO,18,3,10,0.1026,176
OO,62,3,11,0.0753,126
OO,19,3,12,0.0856,146
OO,33,3,13,0.2118,363
OO,18,3,14,0.2366,406
OO,22,3,15,0.2162,317
OO,39,3,16,0.2288,375
OO,17,3,17,0.2191,376
OO,34,3,18,0.2088,350
OO,117,3,19,0.2452,418
OO,35,3,20,0.1614,277
OO,202,3,21,0.1880,327
OO,181,3,22,0.1971,289
OO,27,3,23,0.1030,167
OO,21,3,24,0.1592,273
OO,18,3,25,0.2873,481
OO,52,3,26,0.1221,208
OO,83,3,27,0.1981,340
OO,19,3,28,0.1830,315
OO,24,3,29,0.1942,283
OO,33,3,30,0.3219,524
OO,223,3,31,0.3539,608
OO,61,4,1,0.2224,373
OO,18,4,2,0.0982,168
OO,18,4,3,0.1495,256
OO,145,4,4,0.2107,362
OO,29,4,5,0.1470,207
OO,31,4,6,0.1950,317
OO,64,4,7,0.1200,209
OO,81,4,8,0.1290,209
OO,39,4,9,0.1366,231
OO,61,4,10,0.2833,483
OO,57,4,11,0.2296,391
OO,46,4,12,0.1603,213
OO,35,4,13,0.1015,160
OO,115,4,14,0.1227,209
OO,37,4,15,0.1061,172
OO,27,4,16,0.1418,239
